N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
285,KB발해인프라,"8,180",하락10,-0.12%,0,"10,024","122,546",0.32,"21,200",N/A,N/A,
286,GKL,"16,150",상승390,+2.47%,500,"9,990","61,856",15.92,"411,884",25.63,8.01,
287,KODEX 25-12 은행채(AAA)액티브,"103,195",상승5,0.00%,0,"9,970","9,661",0.00,585,N/A,N/A,
288,교보증권,"8,730",상승50,+0.58%,"5,000","9,949","113,963",1.83,"50,616",7.24,6.09,
289,하나 CD금리투자 ETN,"104,525",상승5,0.00%,0,"9,930","9,500",0.00,"15,308",N/A,N/A,
290,DL,"47,250","상승1,950",+4.30%,"5,000","9,902","20,956",13.04,"127,189",24.73,2.25,
291,KIWOOM 200TR,"56,100",하락80,-0.14%,0,"9,818","17,500",0.01,"75,475",N/A,N/A,
292,TIGER 미국배당다우존스타겟커버드콜2호,"9,450",상승65,+0.69%,0,"9,752","103,200",0.01,"360,566",N/A,N/A,
293,SOL 종합채권(AA-이상)액티브,"115,680",하락10,-0.01%,0,"9,684","8,371",0.00,128,N/A,N/A,
294,TIGER 2차전지테마,"15,770",상승170,+1.09%,0,"9,643","61,150",0.73,"1,527,149",N/A,N/A,
295,NHN,"28,550",하락750,-2.56%,500,"9,640","33,766",10.38,"221,563",-7.25,-8.60,
296,TIGER CD1년금리액티브(합성),"1,050,180",상승65,+0.01%,0,"9,621",916,0.00,"15,044",N/A,N/A,
297,HJ중공업,"11,430",상승990,+9.48%,"5,000","9,518","83,274",2.37,"10,576,299",-278.78,1.56,
298,TIGER 단기통안채,"111,000",상승5,0.00%,0,"9,377","8,448",1.40,"12,411",N/A,N/A,
299,NICE평가정보,"15,640",상승30,+0.19%,500,"9,307","59,507",32.70,"9,404",12.09,19.48,
300,GS피앤엘,"46,650","상승6,350",+15.76%,"1,000","9,251","19,831",10.99,"743,205",-81.41,N/A,
301,세방전지,"65,700","상승1,000",+1.55%,500,"9,198","14,000",24.60,"38,227",5.27,12.22,
302,SNT홀딩스,"55,900",하락500,-0.89%,500,"9,114","16,304",13.12,"9,977",6.33,12.40,
